
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
ESP32W                           J1                                35   1     30  30   1 30         30 0                     (0-0-0)
ESP32W                           J1                                35   1     31  31   1 31         31 0                     (0-0-0)
ESP32W                           J1                                35   1     32  32   1 32         32 0                     (0-0-0)
ESP32W                           J1                                35   1     33  33   1 33         33 0                     (0-0-0)
ESP32W                           J1                                35   1     34  34   1 34         34 0 TX                  (80-0-0)
ESP32W                           J1                                35   1     35  35   1 35         35 0 RX                  (81-0-0)
ESP32W                           J1                                35   1     36  36   1 36         36 0 GPIO22              (108-0-0)
ESP32W                           J1                                35   1     37  37   1 37         37 0 GPIO23              (113-0-0)
ESP32W                           J1                                35   1     38  38   1 38         38 0 GND                 (20-0-0)
LED3528                          J21                               34   1      1   1   1 1           1 0 +5V                 (55-0-0)
LED3528                          J21                               34   1      2   2   1 2           2 0                     (0-0-0)
LED3528                          J21                               34   1      3   3   1 3           3 0 N10453537           (76-0-0)
LED3528                          J21                               34   1      4   4   1 4           4 0 N10449481           (72-0-0)
QFN16                            LIS                               33   1      1   1   1 1           1 0 +3.3V               (74-0-0)
QFN16                            LIS                               33   1      2   2   1 2           2 0                     (0-0-0)
QFN16                            LIS                               33   1      3   3   1 3           3 0                     (0-0-0)
QFN16                            LIS                               33   1      4   4   1 4           4 0 LIS_SCL             (115-0-0)
QFN16                            LIS                               33   1      5   5   1 5           5 0 GND                 (20-0-0)
QFN16                            LIS                               33   1      6   6   1 6           6 0 LIS_SDA             (114-0-0)
QFN16                            LIS                               33   1      7   7   1 7           7 0                     (0-0-0)
QFN16                            LIS                               33   1      8   8   1 8           8 0 +3.3V               (74-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
QFN16                            LIS                               33   1      9   9   1 9           9 0                     (0-0-0)
QFN16                            LIS                               33   1     10  10   1 10         10 0                     (0-0-0)
QFN16                            LIS                               33   1     11  11   1 11         11 0                     (0-0-0)
QFN16                            LIS                               33   1     12  12   1 12         12 0 GND                 (20-0-0)
QFN16                            LIS                               33   1     13  13   1 13         13 0                     (0-0-0)
QFN16                            LIS                               33   1     14  14   1 14         14 0 +3.3V               (74-0-0)
QFN16                            LIS                               33   1     15  15   1 15         15 0                     (0-0-0)
QFN16                            LIS                               33   1     16  16   1 16         16 0                     (0-0-0)
SIP2                             BTT                               32   1      1   1   1 1           1 0 VBT                 (67-0-0)
SIP2                             BTT                               32   1      2   2   1 2           2 0 GND                 (20-0-0)
SIP4                             OUT1                              30   1      1   1   1 1           1 0 VCC                 (66-0-0)
SIP4                             OUT1                              30   1      2   2   1 2           2 0 GPIO22              (108-0-0)
SIP4                             OUT1                              30   1      3   3   1 3           3 0 GND                 (20-0-0)
SIP4                             OUT1                              30   1      4   4   1 4           4 0 GPIO23              (113-0-0)
SIP4                             OUT2                              31   1      1   1   1 1           1 0 GPIO14              (132-0-0)
SIP4                             OUT2                              31   1      2   2   1 2           2 0 GPIO27              (129-0-0)
SIP4                             OUT2                              31   1      3   3   1 3           3 0 GPIO26              (130-0-0)
SIP4                             OUT2                              31   1      4   4   1 4           4 0 GPIO25              (131-0-0)
SIP6                             FT232                             29   1      1   1   1 1           1 0 GPIO0               (86-0-0)
SIP6                             FT232                             29   1      2   2   1 2           2 0 RX                  (81-0-0)
SIP6                             FT232                             29   1      3   3   1 3           3 0 TX                  (80-0-0)
SIP6                             FT232                             29   1      4   4   1 4           4 0 +3.3V               (74-0-0)
SIP6                             FT232                             29   1      5   5   1 5           5 0 CH_EN               (99-0-0)
SIP6                             FT232                             29   1      6   6   1 6           6 0 GND                 (20-0-0)
SOIC8EP                          TC4056                            28   1      1   1   1 1           1 0 GND                 (20-0-0)
SOIC8EP                          TC4056                            28   1      2   2   1 2           2 0 N104467061          (68-0-0)
SOIC8EP                          TC4056                            28   1      3   3   1 3           3 0 GND                 (20-0-0)
SOIC8EP                          TC4056                            28   1      4   4   1 4           4 0 +5V                 (55-0-0)
SOIC8EP                          TC4056                            28   1      5   5   1 5           5 0 VBT                 (67-0-0)
SOIC8EP                          TC4056                            28   1      6   6   1 6           6 0 N10453522           (77-0-0)
SOIC8EP                          TC4056                            28   1      7   7   1 7           7 0 N10449477           (73-0-0)
SOIC8EP                          TC4056                            28   1      8   8   1 8           8 0 +5V                 (55-0-0)
SOIC8EP                          TC4056                            28   1      9   9   1 9           9 0                     (0-0-0)
SOT23                            DMG                               26   1      1   1   1 1           1 0 MOSFON              (92-0-0)
SOT23                            DMG                               26   1      2   2   1 2           2 0 VBT                 (67-0-0)
SOT23                            DMG                               26   1      3   3   1 3           3 0 VCC                 (66-0-0)
SOT23                            J25                               27   1      1   1   1 1           1 0 MOSFON              (92-0-0)
SOT23                            J25                               27   1      2   2   1 2           2 0                     (0-0-0)
SOT23                            J25                               27   1      3   3   1 3           3 0 BTCHK               (93-0-0)
SOT23-5                          LDO                               25   1      1   1   1 1           1 0 VCC                 (66-0-0)
SOT23-5                          LDO                               25   1      2   2   1 2           2 0 GND                 (20-0-0)
SOT23-5                          LDO                               25   1      3   3   1 3           3 0 VCC                 (66-0-0)
SOT23-5                          LDO                               25   1      4   4   1 4           4 0 N10441812           (56-0-0)
SOT23-5                          LDO                               25   1      5   5   1 5           5 0 +3.3V               (74-0-0)
SW_BT85                          BTNON                             24   1      1   1   1 1           1 0 N10488001           (128-0-0)
SW_BT85                          BTNON                             24   1      2   2   1 2           2 0 GND                 (20-0-0)
SW_BT85                          BTNON                             24   1      3   3   1 3           3 0 MOSFON              (92-0-0)
SW_BT85                          BTNON                             24   1      4   4   1 4           4 0 MOSFON              (92-0-0)
SW_BT85                          BTNON                             24   1      5   5   1 5           5 0 GND                 (20-0-0)
SW_BT85                          BTNON                             24   1      6   6   1 6           6 0 GND                 (20-0-0)
SW_FSM2                          J23                               23   1      1   1   1 1           1 0 CH_EN               (99-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
SW_FSM2                          J23                               23   1      2   2   1 2           2 0 GND                 (20-0-0)
USBC                             USB                               21   1      1   1   1 M1          7 0                     (0-0-0)
USBC                             USB                               21   1      2   2   1 M3          9 0                     (0-0-0)
USBC                             USB                               21   1      3   3   1 A12         3 0 GND                 (20-0-0)
USBC                             USB                               21   1      4   4   1 A9          2 0 +5V                 (55-0-0)
USBC                             USB                               21   1      5   5   1 A5          1 0                     (0-0-0)
USBC                             USB                               21   1      6   6   1 B5          4 0                     (0-0-0)
USBC                             USB                               21   1      7   7   1 B9          5 0 +5V                 (55-0-0)
USBC                             USB                               21   1      8   8   1 B12         6 0 GND                 (20-0-0)
USBC                             USB                               21   1      9   9   1 M4         10 0                     (0-0-0)
USBC                             USB                               21   1     10  10   1 M2          8 0                     (0-0-0)
USBC                             USB1                              22   1      1   1   1 M1          7 0                     (0-0-0)
USBC                             USB1                              22   1      2   2   1 M3          9 0                     (0-0-0)
USBC                             USB1                              22   1      3   3   1 A12         3 0 GND                 (20-0-0)
USBC                             USB1                              22   1      4   4   1 A9          2 0 +5V                 (55-0-0)
USBC                             USB1                              22   1      5   5   1 A5          1 0                     (0-0-0)
USBC                             USB1                              22   1      6   6   1 B5          4 0                     (0-0-0)
USBC                             USB1                              22   1      7   7   1 B9          5 0 +5V                 (55-0-0)
USBC                             USB1                              22   1      8   8   1 B12         6 0 GND                 (20-0-0)
USBC                             USB1                              22   1      9   9   1 M4         10 0                     (0-0-0)
USBC                             USB1                              22   1     10  10   1 M2          8 0                     (0-0-0)
0603                             C4                                 3   1      1   1   1 1           1 0 N10441812           (56-0-0)
0603                             C4                                 3   1      2   2   1 2           2 0 GND                 (20-0-0)
0603                             C5                                 4   1      1   1   1 1           1 0 GND                 (20-0-0)
0603                             C5                                 4   1      2   2   1 2           2 0 CH_EN               (99-0-0)
0603                             RCAP1                              5   1      1   1   1 1           1 0 +3.3V               (74-0-0)
0603                             RCAP1                              5   1      2   2   1 2           2 0 N002491             (23-0-0)
0603                             RCAP2                              6   1      1   1   1 1           1 0 MOSFON              (92-0-0)
0603                             RCAP2                              6   1      2   2   1 2           2 0 VBT                 (67-0-0)
0603                             RCURR                              7   1      1   1   1 1           1 0 N104467061          (68-0-0)
0603                             RCURR                              7   1      2   2   1 2           2 0 GND                 (20-0-0)
0603                             RCURR1R                            8   1      1   1   1 1           1 0 N10449477           (73-0-0)
0603                             RCURR1R                            8   1      2   2   1 2           2 0 N10449481           (72-0-0)
0603                             RCURR2G                            9   1      1   1   1 1           1 0 N10453522           (77-0-0)
0603                             RCURR2G                            9   1      2   2   1 2           2 0 N10453537           (76-0-0)
0603                             RG15D1                            10   1      1   1   1 1           1 0 GND                 (20-0-0)
0603                             RG15D1                            10   1      2   2   1 2           2 0 GPIO15              (100-0-0)
0603                             RSIG1                             11   1      1   1   1 1           1 0 GPIO22              (108-0-0)
0603                             RSIG1                             11   1      2   2   1 2           2 0 GPIO22              (108-0-0)
0603                             RSIG2                             12   1      1   1   1 1           1 0 GPIO23              (113-0-0)
0603                             RSIG2                             12   1      2   2   1 2           2 0 GPIO23              (113-0-0)
0603                             RSIG3                             13   1      1   1   1 1           1 0 GPIO25              (131-0-0)
0603                             RSIG3                             13   1      2   2   1 2           2 0 GPIO25              (131-0-0)
0603                             RSIG4                             14   1      1   1   1 1           1 0 GPIO26              (130-0-0)
0603                             RSIG4                             14   1      2   2   1 2           2 0 GPIO26              (130-0-0)
0603                             RSIG5                             15   1      1   1   1 1           1 0 GPIO27              (129-0-0)
0603                             RSIG5                             15   1      2   2   1 2           2 0 GPIO27              (129-0-0)
0603                             RSIG6                             16   1      1   1   1 1           1 0 GPIO14              (132-0-0)
0603                             RSIG6                             16   1      2   2   1 2           2 0 GPIO14              (132-0-0)
0603                             RSP1                              17   1      1   1   1 1           1 0 VCC                 (66-0-0)
0603                             RSP1                              17   1      2   2   1 2           2 0 ADC                 (101-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
0603                             RSP2                              18   1      1   1   1 1           1 0 GND                 (20-0-0)
0603                             RSP2                              18   1      2   2   1 2           2 0 ADC                 (101-0-0)
0603                             RUP1                              19   1      1   1   1 1           1 0 GPIO0               (86-0-0)
0603                             RUP1                              19   1      2   2   1 2           2 0 +3.3V               (74-0-0)
0603                             RUP2                              20   1      1   1   1 1           1 0 CH_EN               (99-0-0)
0603                             RUP2                              20   1      2   2   1 2           2 0 +3.3V               (74-0-0)
0805                             C1                                 1   1      1   1   1 1           1 0 VCC                 (66-0-0)
0805                             C1                                 1   1      2   2   1 2           2 0 GND                 (20-0-0)
0805                             C2                                 2   1      1   1   1 1           1 0 N002491             (23-0-0)
0805                             C2                                 2   1      2   2   1 2           2 0 GND                 (20-0-0)
